,precision,recall,f1
rouge,0.22148624260102526,0.10407536383130304,0.1320326757945795
bleu,0.1663226599191707,0.07322695071100604,0.09553693418753592
bert,0.6017549910459173,0.3000063135561694,0.36940236331331827
