,precision,recall,f1
rouge,0.08670877286080704,0.32404480792708307,0.12872787718974463
bleu,0.06822426849418448,0.2597257735605705,0.10217882344571175
bert,0.1880084708512548,0.6746335383679176,0.2762616218327959
