,precision,recall,f1
rouge,0.27908484371900616,0.1212033751674657,0.15734401664613415
bleu,0.226953588180423,0.09418285626602009,0.12518270882827287
bert,0.6380525471934353,0.31340161359693164,0.38776201123283016
