,precision,recall,f1
rouge,0.09359376958064465,0.3448759955130172,0.13911377654201712
bleu,0.07872072286668315,0.2997620154015845,0.11807640077717683
bert,0.19122523977813952,0.6844945176258944,0.2811253116260718
