,precision,recall,f1
rouge,0.23824527532396458,0.10786993477531479,0.13788460630635122
bleu,0.19847594010770817,0.08628180832181791,0.11162010120306003
bert,0.6169223246804203,0.309955814606454,0.3804106558867043
