,precision,recall,f1
rouge,0.07925341400002052,0.2968561654561484,0.11799181832155052
bleu,0.06440607777890203,0.2426583328169898,0.0963092018786356
bert,0.18139636067740889,0.6531353421000594,0.2669622270180837
